-0.24,0.99,1.11,0.17,-1.19,0.33,-0.52,4.37,2.33,2.69,3.0,3.74,3.57,1.89,3.75,1.9,2.61,0.23,0.57,-0.76,-0.74,-1.0,-1.9,-0.83,2.17,-1.66,0.23,-0.88,0.54,2.32,1.18,1.37,-0.84,0.7,0.64,-0.21,0.41,-0.62,0.22,0.81,2
-1.52,0.18,2.48,1.92,2.75,4.09,3.32,4.66,2.98,6.34,2.47,1.1,1.77,0.83,-0.81,0.77,0.08,-0.36,-0.88,-0.63,0.7,0.96,0.94,0.03,-1.12,-0.32,0.89,-0.27,-0.77,0.59,0.05,-0.8,0.14,1.66,-0.31,-1.08,-1.12,-0.46,1.19,-0.21,1
-1.52,0.25,-0.21,2.08,2.81,2.37,4.09,4.63,5.66,2.3,3.96,0.74,1.29,1.28,0.39,-0.18,-1.09,0.15,-0.69,-0.9,1.21,0.97,-0.58,0.67,1.11,0.13,0.92,-0.27,0.53,0.42,-1.29,0.84,0.55,1.08,1.36,-0.29,0.11,-0.07,-2.09,0.76,1
-0.64,-2.94,-0.07,-0.88,0.24,0.69,1.11,2.87,1.59,2.24,3.82,3.47,2.41,2.3,3.28,3.14,2.44,0.93,0.23,1.17,-0.39,0.99,0.68,0.98,0.35,-0.45,-0.63,-0.02,0.33,-1.26,-1.18,0.22,-0.43,-0.39,-0.78,-0.5,0.74,-0.31,0.02,-0.41,2
-0.31,-0.02,0.29,1.25,-0.4,-1.58,-1.1,-1.01,0.22,1.25,4.47,3.38,5.0,3.79,6.07,3.88,2.6,1.98,1.4,0.9,-0.41,0.03,1.46,0.49,0.41,0.67,0.52,-0.7,-2.2,-1.47,1.39,0.02,0.61,1.37,-3.46,-1.77,1.67,-0.23,-0.83,-2.55,2
0.69,1.5,2.75,1.57,2.76,4.72,4.7,6.22,4.55,3.37,1.93,0.68,-1.4,-0.42,-0.09,0.96,0.89,1.73,0.21,-0.95,-0.8,0.06,0.44,-0.29,-0.33,-0.37,0.11,0.29,0.69,-1.96,0.71,0.73,1.06,-1.0,1.13,-0.93,-1.45,-0.47,1.38,-0.64,1
-0.92,1.55,0.45,0.0,0.88,1.15,2.3,4.62,4.27,3.97,3.02,3.27,2.46,2.29,1.88,0.93,0.84,1.52,-0.23,1.63,0.61,-0.65,0.95,-1.06,-1.4,-1.03,0.93,-0.54,-0.4,-0.83,-0.02,0.3,-0.15,-0.86,0.52,-0.67,0.84,0.45,0.05,2.04,1
-0.65,-1.03,0.87,1.26,0.63,1.9,0.92,2.3,3.51,6.37,5.83,4.74,3.63,1.56,0.77,1.72,1.16,0.43,-0.46,-0.05,0.76,0.02,-0.68,0.47,0.09,0.94,-0.75,1.09,-0.16,-0.73,-0.13,0.01,-0.24,-0.95,-0.11,1.12,-0.82,0.06,-1.23,-1.67,2
0.57,0.43,1.3,1.73,0.54,-0.01,0.84,0.55,1.15,3.62,2.97,2.63,5.26,4.57,4.42,3.65,3.81,2.26,0.79,0.54,-0.16,0.74,-1.38,-0.94,-0.38,-0.49,1.94,0.79,-0.19,-0.29,-0.04,-0.08,0.15,-0.35,-0.0,-1.56,0.29,-1.81,1.33,-0.59,2
-0.5,-0.84,2.13,0.82,3.39,1.58,3.13,2.09,3.19,3.0,2.87,3.78,4.61,0.38,0.69,0.47,0.16,0.99,1.14,-1.45,-0.16,-1.4,-0.34,-1.18,-0.18,0.11,-0.94,1.13,-0.78,0.39,0.94,0.97,-2.04,-0.33,-0.43,-0.16,-0.12,-1.27,0.57,0.49,1
0.92,1.38,0.45,1.32,1.45,-0.73,0.04,-0.2,0.38,3.27,1.12,2.89,1.95,4.87,4.12,5.59,1.29,4.07,2.16,0.07,0.84,0.41,0.32,1.68,-0.76,-0.64,-0.32,1.03,0.8,0.12,0.96,0.74,-0.96,1.38,0.11,-0.62,-0.46,0.87,1.75,0.49,2
-1.78,1.03,2.99,1.49,3.49,4.55,4.31,4.19,3.37,3.19,2.5,4.88,1.16,2.69,1.67,-0.86,-0.26,0.04,0.26,-0.69,-0.05,-0.11,0.04,-0.67,1.53,-0.82,-0.7,2.12,-0.62,-0.77,0.05,1.84,-0.83,-0.61,-0.72,-1.51,-0.48,-1.43,1.07,1.52,1
2.13,-0.3,-0.57,-0.24,1.43,-0.11,0.66,2.44,2.61,5.16,5.91,5.46,4.6,1.42,0.92,2.2,0.62,0.29,1.09,-0.08,0.3,-0.29,-0.3,-0.93,-0.48,0.77,-0.89,-0.46,0.63,0.47,-1.17,1.14,-1.08,0.76,-0.33,-0.27,0.99,0.19,-0.98,0.76,2
1.96,0.04,-0.84,-0.03,1.15,-1.06,1.64,2.82,3.24,4.21,2.97,3.02,4.55,4.02,3.72,3.88,0.09,-0.57,0.55,0.96,-0.8,-0.47,-1.2,0.09,-0.85,0.81,0.63,0.39,-0.73,-0.09,-0.38,-1.48,0.12,0.52,0.56,1.8,0.15,-0.17,0.79,2.77,2
