0.87,1.0,0.7,0.05,0.72,0.47,2.38,2.79,2.36,3.94,6.45,4.55,2.5,3.46,-0.07,0.74,-0.28,-0.13,1.13,1.58,-0.71,0.44,-0.87,0.35,-1.96,0.63,-0.81,0.86,0.12,0.15,1.13,1.78,-0.3,-1.1,-0.27,-0.07,0.05,-0.13,0.76,-1.42,1
-0.43,1.94,-0.07,2.27,1.79,4.52,4.37,4.67,4.83,3.76,0.92,1.53,0.43,1.06,-0.92,-0.59,1.33,2.35,0.46,-0.63,0.12,-1.2,0.17,-0.21,-0.94,-0.32,-0.15,-0.1,-0.47,1.09,0.32,-0.98,-0.19,-1.84,-0.12,1.0,-1.48,-0.53,-1.12,-0.43,1
0.22,-0.77,-0.72,-0.05,1.27,1.17,2.13,0.67,0.74,2.34,4.08,4.01,2.66,4.57,5.53,2.43,3.51,3.49,2.41,1.25,-0.01,0.62,1.4,1.39,0.1,0.94,0.04,-0.29,1.03,0.68,-0.74,0.74,-0.74,-0.74,-0.19,1.02,-0.73,-0.93,1.46,-0.33,2
0.93,-1.53,0.26,0.72,-1.21,0.32,0.12,1.25,0.32,0.43,0.42,3.64,4.09,6.04,4.39,6.27,3.98,4.19,3.59,0.22,0.99,-2.2,1.02,0.81,0.85,-0.08,-0.66,0.23,-0.53,0.35,-1.36,-0.33,2.27,-0.38,1.12,0.57,0.89,0.17,1.12,-0.61,2
0.82,0.14,0.88,0.27,1.66,-0.23,-1.31,1.62,1.45,1.67,3.99,3.59,1.02,3.88,5.62,4.94,2.64,2.6,0.86,0.53,0.47,-0.94,-1.63,-0.4,0.85,0.35,-0.54,-0.08,-0.77,0.09,0.67,-0.32,1.04,0.09,2.12,0.78,-0.64,0.31,1.52,-0.37,2
-0.3,-0.46,-0.79,-0.25,-0.36,0.56,1.32,0.66,0.66,2.71,2.04,3.58,6.05,5.69,4.97,5.06,2.57,2.85,0.23,1.13,0.88,0.76,-0.94,-0.62,0.79,-2.21,0.74,-1.71,-0.13,-0.63,-0.36,-0.41,-1.11,0.23,0.71,-0.91,-1.07,-0.09,0.85,-0.06,2
-0.68,-1.18,-0.6,2.25,0.73,0.85,1.19,0.94,1.84,1.23,3.67,3.19,5.01,5.05,5.34,4.64,2.71,1.74,2.15,1.87,0.22,-1.9,-1.16,0.91,-1.18,-0.21,-0.27,-0.35,1.13,0.86,-0.76,-0.87,0.05,1.24,-0.81,-0.09,-0.85,0.18,-0.51,1.79,2
-1.78,1.03,2.99,1.49,3.49,4.55,4.31,4.19,3.37,3.19,2.5,4.88,1.16,2.69,1.67,-0.86,-0.26,0.04,0.26,-0.69,-0.05,-0.11,0.04,-0.67,1.53,-0.82,-0.7,2.12,-0.62,-0.77,0.05,1.84,-0.83,-0.61,-0.72,-1.51,-0.48,-1.43,1.07,1.52,1
-0.01,-1.64,0.91,-0.47,1.3,2.23,1.42,2.44,3.01,4.68,6.72,6.28,4.26,3.56,2.08,2.03,1.5,-2.13,3.17,0.17,0.4,0.29,-0.27,0.32,-0.34,-0.72,0.86,0.21,-0.2,0.42,0.62,0.94,-0.69,-0.51,0.86,0.61,1.04,0.4,-0.39,-1.02,1
0.1,-1.19,0.23,0.02,0.0,2.41,3.63,3.23,4.32,4.49,4.65,4.45,4.73,2.3,1.82,0.17,-1.17,-0.54,-0.33,-1.26,-0.6,0.36,0.66,0.1,-0.07,-0.36,-0.65,0.83,0.36,-0.44,1.3,1.96,0.78,1.23,1.41,-0.62,-0.44,-0.76,1.02,-1.31,1
